Source,Species,decimalLongitude,decimalLatitude
GBIF,Quercus engelmannii,-117.156028,33.077839
GBIF,Quercus engelmannii,-117.155891,33.077906
GBIF,Quercus engelmannii,-116.600833,33.078333
GBIF,Quercus engelmannii,-117.137703,33.078669
GBIF,Quercus engelmannii,-117.155044,33.0793
GBIF,Quercus engelmannii,-116.63556,33.07972
GBIF,Quercus engelmannii,-116.712583,33.080544
GBIF,Quercus engelmannii,-117.084411,33.081244
GBIF,Quercus engelmannii,-116.57206,33.08187
GBIF,Quercus engelmannii,-116.5227,33.082
GBIF,Quercus engelmannii,-117.10629,33.08262
GBIF,Quercus engelmannii,-116.45,33.083333
GBIF,Quercus engelmannii,-116.716381,33.083625
GBIF,Quercus engelmannii,-117.114805,33.08397
GBIF,Quercus engelmannii,-116.916669,33.086322
GBIF,Quercus engelmannii,-116.79119,33.09021
GBIF,Quercus engelmannii,-116.790913,33.092517
GBIF,Quercus engelmannii,-116.64558,33.09754
GBIF,Quercus engelmannii,-116.664245,33.09783
GBIF,Quercus engelmannii,-116.664237,33.097833
GBIF,Quercus engelmannii,-116.9755,33.0995
GBIF,Quercus engelmannii,-116.9755,33.0995
GBIF,Quercus engelmannii,-116.9755,33.0995
GBIF,Quercus engelmannii,-116.71,33.1
GBIF,Quercus engelmannii,-116.76111,33.10056
GBIF,Quercus engelmannii,-116.702223,33.101138
GBIF,Quercus engelmannii,-116.702324,33.101167
GBIF,Quercus engelmannii,-116.700278,33.101172
GBIF,Quercus engelmannii,-116.6631,33.1012
GBIF,Quercus engelmannii,-116.70007,33.101547
GBIF,Quercus engelmannii,-116.699911,33.101608
GBIF,Quercus engelmannii,-116.70411,33.101863
GBIF,Quercus engelmannii,-116.705833,33.102542
GBIF,Quercus engelmannii,-116.783289,33.103228
GBIF,Quercus engelmannii,-116.783361,33.103247
GBIF,Quercus engelmannii,-116.706409,33.103397
GBIF,Quercus engelmannii,-116.673064,33.104391
GBIF,Quercus engelmannii,-116.707253,33.104453
GBIF,Quercus engelmannii,-116.66765,33.1049
GBIF,Quercus engelmannii,-116.859673,33.105064
GBIF,Quercus engelmannii,-116.707133,33.105272
GBIF,Quercus engelmannii,-116.596808,33.105953
GBIF,Quercus engelmannii,-116.7057,33.1062
GBIF,Quercus engelmannii,-117.203575,33.107789
GBIF,Quercus engelmannii,-116.67308,33.10921
GBIF,Quercus engelmannii,-116.67308,33.10921
GBIF,Quercus engelmannii,-116.67308,33.10921
GBIF,Quercus engelmannii,-116.670423,33.111481
GBIF,Quercus engelmannii,-116.78938,33.111683
GBIF,Quercus engelmannii,-116.670817,33.112715
GBIF,Quercus engelmannii,-116.79394,33.114
GBIF,Quercus engelmannii,-116.79394,33.11401
GBIF,Quercus engelmannii,-116.670231,33.114034
GBIF,Quercus engelmannii,-116.671525,33.114074
GBIF,Quercus engelmannii,-116.672818,33.114644
GBIF,Quercus engelmannii,-116.667834,33.114678
GBIF,Quercus engelmannii,-116.667653,33.114765
GBIF,Quercus engelmannii,-117.203645,33.114945
GBIF,Quercus engelmannii,-116.816872,33.1165
GBIF,Quercus engelmannii Greene,-116.83,33.12
GBIF,Quercus engelmannii,-116.46696,33.120043
GBIF,Quercus engelmannii,-116.665014,33.120194
GBIF,Quercus engelmannii,-116.642053,33.120636
GBIF,Quercus engelmannii,-116.664528,33.121172
GBIF,Quercus engelmannii,-116.664665,33.121287
GBIF,Quercus engelmannii,-116.66857,33.122387
GBIF,Quercus engelmannii,-116.672712,33.122747
GBIF,Quercus engelmannii,-116.794253,33.123919
GBIF,Quercus engelmannii,-116.671173,33.124171
GBIF,Quercus engelmannii,-116.67106,33.125081
GBIF,Quercus engelmannii,-116.5649,33.12561
GBIF,Quercus engelmannii,-116.5635,33.12573
GBIF,Quercus engelmannii,-116.671497,33.125736
GBIF,Quercus engelmannii,-116.671389,33.125843
GBIF,Quercus engelmannii,-116.671858,33.126206
GBIF,Quercus engelmannii,-116.556944,33.127222
GBIF,Quercus engelmannii,-116.556944,33.127778
GBIF,Quercus engelmannii,-116.89583,33.13056
GBIF,Quercus engelmannii,-117.006592,33.13367
GBIF,Quercus engelmannii,-116.83319,33.1455
GBIF,Quercus engelmannii,-116.8332,33.14553
GBIF,Quercus engelmannii,-116.83133,33.14739
GBIF,Quercus engelmannii,-116.672881,33.153122
GBIF,Quercus engelmannii,-116.816633,33.155967
GBIF,Quercus engelmannii,-116.67391,33.15681
GBIF,Quercus engelmannii,-117.274681,33.158263
SEINET,Quercus engelmanii Greene.,-116.94167,33.15833
GBIF,Quercus engelmannii,-116.674588,33.158404
GBIF,Quercus engelmannii,-116.67867,33.16248
GBIF,Quercus engelmannii,-117.050133,33.165953
GBIF,Quercus engelmannii,-117.052697,33.167125
GBIF,Quercus engelmannii,-117.000831,33.168044
GBIF,Quercus engelmannii,-116.8764,33.1681
GBIF,Quercus engelmannii,-116.996722,33.168264
GBIF,Quercus engelmannii,-116.8124,33.16876
GBIF,Quercus engelmannii,-117.047626,33.168947
GBIF,Quercus engelmannii,-116.5807,33.1703
GBIF,Quercus engelmannii,-116.68413,33.17069
GBIF,Quercus engelmannii,-116.68413,33.17069
GBIF,Quercus engelmannii,-116.6841,33.1707
GBIF,Quercus engelmannii,-116.994466,33.170853
GBIF,Quercus engelmannii,-117.050074,33.172182
GBIF,Quercus engelmannii,-117.00167,33.17278
GBIF,Quercus engelmannii,-117.00028,33.17278
GBIF,Quercus engelmannii,-117.041703,33.173015
GBIF,Quercus engelmannii,-117.0503,33.173145
GBIF,Quercus engelmannii,-117.050889,33.173775
GBIF,Quercus engelmannii,-117.04833,33.17408
GBIF,Quercus engelmannii,-117.275782,33.174138
GBIF,Quercus engelmannii,-117.055939,33.174222
GBIF,Quercus engelmannii,-116.994761,33.174936
GBIF,Quercus engelmannii,-116.983456,33.175564
GBIF,Quercus engelmannii,-116.98876,33.17563
GBIF,Quercus engelmannii,-117.064444,33.17628
GBIF,Quercus engelmannii,-117.2694,33.176323
GBIF,Quercus engelmannii,-116.981939,33.176489
GBIF,Quercus engelmannii,-117.27,33.176707
GBIF,Quercus engelmannii,-116.9905,33.177158
GBIF,Quercus engelmannii,-116.989186,33.177247
GBIF,Quercus engelmannii,-117.042708,33.178528
GBIF,Quercus engelmannii,-116.982206,33.178544
GBIF,Quercus engelmannii,-116.978281,33.178897
GBIF,Quercus engelmannii,-116.83224,33.17968
GBIF,Quercus engelmannii,-117.058839,33.182517
GBIF,Quercus engelmannii,-117.048779,33.191162
GBIF,Quercus engelmannii,-116.994228,33.197417
GBIF,Quercus engelmannii,-116.71642,33.19781
GBIF,Quercus engelmannii,-116.994289,33.198183
GBIF,Quercus engelmannii,-116.97201,33.19836
GBIF,Quercus engelmannii,-116.995008,33.19845
GBIF,Quercus engelmannii,-116.999411,33.198478
GBIF,Quercus engelmannii,-117.01025,33.198844
GBIF,Quercus engelmannii,-117.074555,33.198922
GBIF,Quercus engelmannii,-116.75103,33.19901
GBIF,Quercus engelmannii,-116.983333,33.2
GBIF,Quercus engelmannii Greene,-117.3,33.2
GBIF,Quercus engelmannii,-116.721289,33.200194
GBIF,Quercus engelmannii,-116.952842,33.203894
GBIF,Quercus engelmannii,-117.077098,33.204714
GBIF,Quercus engelmannii,-117.079094,33.205308
GBIF,Quercus engelmannii,-117.080719,33.20652
GBIF,Quercus engelmannii,-116.46028,33.20748
GBIF,Quercus engelmannii,-117.075286,33.209297
GBIF,Quercus engelmannii,-117.070914,33.210372
GBIF,Quercus engelmannii,-116.979172,33.215698
GBIF,Quercus engelmannii,-116.933333,33.216667
GBIF,Quercus engelmannii,-116.94167,33.21667
GBIF,Quercus engelmannii,-116.93719,33.2176
GBIF,Quercus engelmannii,-116.8421,33.2202
GBIF,Quercus engelmannii,-117.11546,33.22097
GBIF,Quercus engelmannii,-117.03961,33.225011
GBIF,Quercus engelmannii,-117.1009,33.2252
GBIF,Quercus engelmannii,-116.596881,33.226428
GBIF,Quercus engelmannii,-116.561111,33.230556
GBIF,Quercus engelmannii,-116.93833,33.23167
