coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
23059375,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:fb3068f3-3a5f-4729-97dd-5b5dd6adfea9,"2020-02-13 13:52:16"
23059374,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:82a2c56a-a720-41d7-9a9c-7238091a5f8a,"2020-02-13 13:52:16"
23059373,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:508b7ad5-358f-4b0b-ac6a-1e6f4f6661df,"2020-02-13 13:52:16"
23059363,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:f3c093b1-19d5-4c81-a19c-6c828dcde0d1,"2020-02-13 13:52:16"
23059364,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:05dadbe0-49ca-47a0-b2c4-123a777219d1,"2020-02-13 13:52:16"
23059365,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:e692e82d-1d13-4f70-b190-46f2d8311249,"2020-02-13 13:52:16"
23059366,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:4188ddfe-028b-4bb6-a891-99123ff7b6d4,"2020-02-13 13:52:16"
23059367,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:72c0e5ef-5ad0-4ae4-883e-95a198cdae9c,"2020-02-13 13:52:16"
23059368,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:bb063de8-9b1a-49e0-971b-a2a8fb584331,"2020-02-13 13:52:16"
23059369,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:4efad46c-f19b-461d-a5fa-007c6995c16a,"2020-02-13 13:52:16"
23059370,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:54c6355d-a43f-45f1-9d1f-290be02e9c7c,"2020-02-13 13:52:16"
23059371,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:73802436-7540-4bec-8282-6117dd10a06a,"2020-02-13 13:52:16"
23059386,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:ba739423-ff1a-432c-8b3f-41bbb835d662,"2020-02-13 13:52:16"
