verbatimScientificName,decimalLongitude,decimalLatitude
Quercus (Quercus) cedrosensis,-116.633,31.9667
Quercus (Quercus) cedrosensis,-116.633417,31.96675
Quercus (Quercus) cedrosensis,-116.641667,31.975
Quercus (Quercus) cedrosensis,-116.833,31.983
Quercus (Quercus) cedrosensis,-116.817,31.9833
Quercus (Quercus) cedrosensis,-116.85,31.9833
Quercus (Quercus) cedrosensis,-116.817,31.9833
Quercus (Quercus) cedrosensis,-116.817,31.9833
Quercus (Quercus) cedrosensis,-116.82925,31.987333
Quercus (Quercus) cedrosensis,-116.86667,32.1
Quercus (Quercus) cedrosensis,-115.849806,32.100111
Quercus (Quercus) cedrosensis,-116.841667,32.399917
Quercus (Quercus) cedrosensis,-116.833,32.4167
Quercus (Quercus) cedrosensis,-116.833222,32.416861
Quercus (Quercus) cedrosensis,-116.833222,32.416861
Quercus (Quercus) cedrosensis,-116.61667,32.48333
Quercus (Quercus) cedrosensis,-116.85,32.53333
Quercus (Quercus) cedrosensis,-116.854444,32.546111
Quercus (Quercus) cedrosensis,NA,NA
Quercus (Quercus) cedrosensis,NA,NA
Quercus (Quercus) cedrosensis,NA,NA
Quercus (Quercus) cedrosensis,NA,NA
Quercus (Quercus) cedrosensis,NA,NA
Quercus (Quercus) engelmannii,-113.02,27.6
Quercus (Quercus) engelmannii,-107.8944768,29.18990091
Quercus (Quercus) engelmannii,-116.625,31.525
Quercus (Quercus) engelmannii,-116.3996,31.5987
Quercus (Quercus) engelmannii,-116.4265,31.5997
Quercus (Quercus) engelmannii,-116.4265,31.5997
Quercus (Quercus) engelmannii,-116.4265,31.5997
Quercus (Quercus) engelmannii,-116.3224,31.8882
Quercus (Quercus) engelmannii,-116.593056,32.425833
Quercus (Quercus) engelmannii,-116.593056,32.425833
Quercus (Quercus) engelmannii,-116.5979,32.50947
Quercus (Quercus) engelmannii,-116.771389,32.512222
Quercus (Quercus) engelmannii,-116.616667,32.516667
Quercus (Quercus) engelmannii,-116.625,32.525
Quercus (Quercus) engelmannii,-116.625,32.525
Quercus (Quercus) engelmannii,-116.625,32.525
Quercus (Quercus) engelmannii,-117.118139,33.074528
Quercus (Quercus) engelmannii,NA,NA
Quercus (Quercus) engelmannii,NA,NA
Quercus (Quercus) graciliramis,-100.05,24.6
Quercus (Quercus) graciliramis,-100.231556,24.6699
Quercus (Quercus) hinckleyi,-104.040556,30.521389
Quercus (Quercus) hinckleyi,NA,NA
Quercus (Quercus) tomentella,0,0
Quercus (Quercus) tomentella,0,0
Quercus (Quercus) tomentella,0,0
Quercus (Quercus) tomentella,0,0
Quercus (Quercus) tomentella,0,0
Quercus (Quercus) tomentella,0,0
Quercus (Quercus) tomentella,0,0
Quercus (Quercus) tomentella,0,0
Quercus (Quercus) tomentella,0,0
Quercus (Quercus) tomentella,0,0
Quercus (Quercus) tomentella,-115.275,28.375
Quercus (Quercus) tomentella,-115.275,28.375
Quercus (Quercus) tomentella,-115.275,28.375
Quercus (Quercus) tomentella,-118.27917,28.97916
Quercus (Quercus) tomentella,-118.2792,28.9792
Quercus (Quercus) tomentella,-118.451667,29.008333
Quercus (Quercus) tomentella,-118.258333,29.008333
Quercus (Quercus) tomentella,-118.28457,29.02548
Quercus (Quercus) tomentella,-118.28457,29.02548
Quercus (Quercus) tomentella,-118.2689,29.0285
Quercus (Quercus) tomentella,-118.2742,29.0403
Quercus (Quercus) tomentella,-118.2742,29.0423
Quercus (Quercus) tomentella,-118.355931,29.060053
Quercus (Quercus) tomentella,-114.155211,29.070126
Quercus (Quercus) tomentella,-118.30623,29.09229
Quercus (Quercus) tomentella,-118.306113,29.092298
Quercus (Quercus) tomentella,-118.306,29.0923
Quercus (Quercus) tomentella,-118.355972,29.093317
Quercus (Quercus) tomentella,-118.30667,29.09333
Quercus (Quercus) tomentella,-118.316667,29.1
Quercus (Quercus) tomentella,-118.304167,29.1
Quercus (Quercus) tomentella,-118.28748,29.10243
Quercus (Quercus) tomentella,-118.28748,29.10243
Quercus (Quercus) tomentella,-118.291667,29.108333
Quercus (Quercus) tomentella,-118.283,29.1125
Quercus (Quercus) tomentella,-118.339171,29.123603
Quercus (Quercus) tomentella,-118.33333,29.13333
Quercus (Quercus) tomentella,-118.33333,29.13333
Quercus (Quercus) tomentella,-118.304,29.138
Quercus (Quercus) tomentella,-118.3125,29.14583
Quercus (Quercus) tomentella,-118.3125,29.14583
Quercus (Quercus) tomentella,-118.3125,29.14583
Quercus (Quercus) tomentella,-118.3125,29.14583
Quercus (Quercus) tomentella,-118.3125,29.14583
Quercus (Quercus) tomentella,-118.3125,29.14583
Quercus (Quercus) tomentella,-118.141667,29.145833
Quercus (Quercus) tomentella,-118.29482,29.14955
Quercus (Quercus) tomentella,-118.31667,29.15
Quercus (Quercus) tomentella,-118.3125,29.15
Quercus (Quercus) tomentella,-118.316667,29.15
Quercus (Quercus) tomentella,-118.29164,29.1512
Quercus (Quercus) tomentella,-118.31696,29.15809
Quercus (Quercus) tomentella,-118.317,29.1581
Quercus (Quercus) tomentella,-118.3181,29.1594
Quercus (Quercus) tomentella,-118.318,29.1594
Quercus (Quercus) tomentella,-118.3181,29.15944
Quercus (Quercus) tomentella,-118.318055,29.159444
Quercus (Quercus) tomentella,-118.296164,29.162533
Quercus (Quercus) tomentella,-118.29592,29.162797
Quercus (Quercus) tomentella,-118.295564,29.163053
Quercus (Quercus) tomentella,-118.29575,29.163097
Quercus (Quercus) tomentella,-118.29604,29.163293
Quercus (Quercus) tomentella,-118.295824,29.163322
Quercus (Quercus) tomentella,-118.295951,29.163573
Quercus (Quercus) tomentella,-118.296157,29.16358
Quercus (Quercus) tomentella,-118.295822,29.163926
Quercus (Quercus) tomentella,-118.296151,29.16395
Quercus (Quercus) tomentella,-118.295987,29.163952
Quercus (Quercus) tomentella,-118.296122,29.164095
Quercus (Quercus) tomentella,-118.294724,29.164163
Quercus (Quercus) tomentella,-118.295503,29.164742
Quercus (Quercus) tomentella,-118.29499,29.16481
Quercus (Quercus) tomentella,-118.3125,29.16667
Quercus (Quercus) tomentella,-118.313,29.1667
Quercus (Quercus) tomentella,-118.2958,29.1667
Quercus (Quercus) tomentella,-118.283,29.1667
Quercus (Quercus) tomentella,-118.3125,29.1667
Quercus (Quercus) tomentella,-118.283,29.167
Quercus (Quercus) tomentella,-118.3,29.170833
Quercus (Quercus) tomentella,-118.283,29.175
Quercus (Quercus) tomentella,-118.28333,29.175
Quercus (Quercus) tomentella,-118.2833,29.175
Quercus (Quercus) tomentella,-118.291667,29.175
Quercus (Quercus) tomentella,-118.331,29.2444
Quercus (Quercus) tomentella,-114.233333,29.283333
Quercus (Quercus) tomentella,NA,NA
Quercus (Quercus) tomentella,NA,NA
Quercus (Quercus) tomentella,NA,NA
Quercus (Quercus) tomentella,NA,NA
Quercus (Quercus) tomentella,NA,NA
Quercus (Quercus) tomentella,NA,NA
